Weapons,Damage
Club,1d4 bludgeoning
Dagger,1d4 piercing
Greatclub,1d8 bludgeoning
Handaxe,1d6 slashing
Javelin,1d6 piercing
Light hammer,1d4 bludgeoning
Mace,1d6 bludgeoning
Quarterstaff,1d6 bludgeoning
Sickle,1d4 slashing
Spear,1d6 piercing
Unarmed strike,1 bludgeoning
"Crossbow, light",1d8 piercing
Dart,1d4 piercing
Shortbow,1d6 piercing
Sling,1d4 bludgeoning
Battleaxe,1d8 slashing
Flail,1d8 bludgeoning
Glaive,1d10 slashing
Greataxe,1d12 slashing
Greatsword,2d6 slashing
Halberd,1d10 slashing
Lance,1d12 piercing
Longsword,1d8 slashing
Maul,2d6 bludgeoning
Morningstar,1d8 piercing
Pike,1d10 piercing
Rapier,1d8 piercing
Scimitar,1d6 slashing
Shortsword,1d6 piercing
Trident,1d6 piercing
War pick,1d8 piercing
Warhammer,1d8 bludgeoning
Whip,1d4 slashing
Blowgun,1 piercing
"Crossbow, hand",1d6 piercing
"Crossbow, heavy",1d10 piercing
Longbow,1d8 piercing
Net,-
